,title,longitude,latitude
0,카페a (02-337-7737),126.92170039371624,37.551552338388454
1,카페 무아,126.92229539972426,37.55192469991766
2,델문도,126.92299491081695,37.552746197418706
3,마켓밤삼킨별,126.92614849972428,37.55538739991764
4,유아히어카페,126.9209379,37.5586455
5,카페가비애,126.9295012,37.55446
6,카페더메드 홍대점,126.92220599972427,37.55352499991766
7,1984,126.92283589972425,37.55736539991766
8,코코브루니 홍대점,126.92433089972428,37.55663689991765
9,카페두다트 홍대본점,126.92065953308553,37.55805296012171
10,피오니,126.92086799972428,37.549955999917664
11,미엘로이,126.92316939972426,37.554596699917646
12,담소(Damso),126.9259659756885,37.555674678839836
13,시간의 공기,126.918825,37.547719
14,카페 작,126.9237567997243,37.55452579991765
15,카페 AA 홍대점,126.92158214155678,37.5491341615113
16,카페 스케치북,126.92109044508405,37.55573665180437
17,베브릿지,126.92330944217633,37.55405658579018
18,카페꼼마,126.925186,37.558417
19,브라운브레스 홍대점,126.92555775992014,37.55477709253244
20,더브릿지합정,126.91844659972428,37.54986759991767
21,카페피오니,126.92038199972426,37.55154799991765
22,하이카페,126.92163000977006,37.55408015018611
23,코니쉬크림,126.92666501750783,37.55619600020549
24,와플반트 홍대상수점,126.92141090969953,37.54832013116826
25,슈풍크,126.9262214473437,37.55303379132192
26,패턴에티오피아,126.92972959586837,37.555643886023525
27,카페히비,126.92801007488238,37.555575777109716
28,진니아,126.92497145854715,37.55625299816926
29,슈풍크,126.92793719972428,37.55370009991767
30,수카라,126.9298525759026,37.55559654947735
31,당고집,126.91936249972426,37.54724169991766
32,카페소스,126.92474613223465,37.554467638563025
33,제프리,126.92044859972428,37.54920169991765
34,애쉬앤블룸,126.92672296906004,37.556747732815445
35,커피프린스 홍대점,126.92473119972428,37.55786799991765
36,카페더메드 홍대점,126.92215528746824,37.55422780203064
37,Cafe In Planet,126.92574329410938,37.556267929689774
38,고디바홍대점,126.9237464,37.5520038
39,르봉초초,126.92149729972427,37.54898419991767
40,카페히비,126.92667581680199,37.55535298252047
41,카페루시아,126.91996249972426,37.552058299917654
42,에이블릭,126.91965722979626,37.5532468871714
43,애쉬앤블룸,126.92594399871983,37.5564555171358
44,카페부라노,126.92081949972425,37.55684239991765
45,카페베를린,126.9291011872986,37.55420843455264
46,그린빈커피,126.92206559972426,37.554141599917656
47,카페 UFF,126.91667155755364,37.55009981181666
48,코코브루니 홍대점,126.92433089972428,37.55663689991765
49,카페데코믹스 홍대점,126.92227809972428,37.55352539991765
50,진니아,126.9234654997243,37.554803499917654
51,카페히비,126.92917199972426,37.55464399991765
52,더페이머스램,126.92158032301394,37.55708709982513
53,에이블릭,126.9186059,37.5545036
54,심양,126.92045609972428,37.55013069991765
55,Cafe tea box,126.92202479972427,37.55499509991765
56,폴바셋 홍대입구역점,126.92395679972428,37.55742829991764
57,코나빈스 홍대점,126.92069909972427,37.55504549991765
58,비하인드,126.91814659292714,37.5493080870205
59,메이크케이크,126.92861150254905,37.55575300928045
60,호미빙 홍대점,126.92275109972427,37.55485099991766
61,서울특별시 마포구 서교동 358-122,126.92262279972428,37.55266109991765
62,카페고리,126.9220745,37.5528231
63,호호미욜,126.92322129972426,37.54882789991765
64,Cafe The Air,126.9209610276078,37.55306870711053
65,유니온미술학원 홍대점,126.92597983043466,37.5531920609488
66,슈풍크,126.92789632526545,37.553123039896995
67,Coffee 갈라파고스,126.92085109972426,37.54832289991766
68,Chocolatyum,126.92336596149308,37.55253766214071
69,에디토리얼카페비플러스,126.91727966269514,37.55139069692589
70,나의작은카페,126.92750589972427,37.55496859991764
71,피오니,126.92031149972428,37.55144369991766
72,Fruitalks,126.92163949972426,37.54889469991766
73,커피랩,126.92708479405941,37.55559059165778
74,바빈스커피 홍대점,126.92041599972427,37.54893009991766
75,카페더메드 홍대점,126.92220599972427,37.55352499991766
76,진니아코리아,126.92369734486114,37.555570776227725
77,유아히어카페,126.92275883945368,37.55742858640969
78,토끼의 지혜,126.9200352,37.5490977
79,코끼리탈출하다,126.92541399972428,37.55742549991764
80,메이크케이크,126.92875189972426,37.555158799917656
81,미카야,126.92033659842376,37.5556180802773
82,더빅바나나,126.92816168845717,37.557038199458106
83,빌리엔젤 홍대점,126.92516790883299,37.55399911699272
84,비행기카페,126.91974099972427,37.54960499991766
85,투썸커피 홍대테디점,126.92489679972428,37.55291369991765
86,허밍벨라,126.9218666347641,37.55100501006073
87,피오니,126.92057969875133,37.55116559883508
88,그린클라우드,126.92919616250444,37.55393482460169
89,카페퍼즐,126.92342929972428,37.55478029991764
90,Cafe 아래,126.92281137103535,37.55577767942872
91,Beliefcoffee,126.9271019997243,37.55417299991765
92,폴바셋 홍대입구역점,126.92395679972428,37.55742829991764
93,1984,126.9228713938103,37.55716727729464
94,브릭,126.91769219972429,37.54828129991766
95,데코아 발림,126.92250936002422,37.54963694090338
96,스탠다드아이덴티티,126.92576259972428,37.55679299991764
97,달수다 홍대1호점,126.92206428138282,37.551753084929835
98,고디바홍대점,126.92374639972425,37.55200379991765
99,투더디프런트 홍대점,126.92015469972426,37.55059099991765
100,카페 무아,126.9222954,37.5519247
101,젤라띠젤라띠,126.9222754,37.5502598
102,카페그랑,126.92493697145422,37.559540435438784
103,Cafe 아래,126.92292159972426,37.555431199917656
104,르뿌띠푸,126.92354675120195,37.55023196808091
105,MICHA,126.92157499972427,37.55926669991764
106,달의계단,126.92392888631892,37.55571007862594
107,커피빈 홍대주차장길점,126.92211359972427,37.55342209991767
108,바이더컷,126.92457099972428,37.559408999917636
109,홍대 로컬카페,126.926855026491,37.555677553654306
110,제이브라운 홍대점,126.91894724635124,37.54924311768106
111,닥터빈스 홍대점,126.92785649972429,37.55797359991764
112,디자이너스라운지,126.92784858556541,37.5550153403593
113,코코브루니 홍대점,126.92443300094844,37.5566103573098
114,Tora b,126.9255990700737,37.555739941602944
115,카페꼼마,126.92094739972427,37.548967799917655
116,이미,126.92193199972426,37.55748599991763
117,Tora b,126.92535213141389,37.556198426624256
118,피오니,126.92076859972427,37.54980999991766
119,모노,126.9258832085394,37.55560960543613
120,다르다,126.91946373342127,37.56479098267026
121,비 스위트 온,126.92681872704811,37.55465708120096
122,5brewing coffee,126.91865542139392,37.56712274557258
123,좋은자리 갤러리 카페,126.92024299015652,37.55650884269565
124,더페이머스램,126.921055,37.5576704
125,카페더플레인,126.92736769972429,37.55540579991765
126,크레이지 칵테일&커피,126.92220909078566,37.55532624345494
127,코코브루니 홍대점,126.92433089972428,37.55663689991765
128,플라워카페 제프리,126.92152786322143,37.54871125137353
129,마이머그,126.92570999972429,37.55577059991766
130,테이블에이,126.92989674477099,37.55419539752835
131,슈아브,126.92590269972428,37.55423349991766
132,마켓밤삼킨별,126.92588231121007,37.55540413278467
133,마카롱,126.92575199972427,37.553419999917665
134,카바레마키아토,126.92050119972427,37.549695799917664
135,오마오,126.92145454879092,37.551324847551776
136,철길왕갈비살,126.9307150673036,37.55472321214446
137,홍대반지카페,126.92128199972429,37.55210969991766
138,허밍벨라,126.92049849990794,37.54932179774722
139,오브젝트 홍대점,126.91797094114267,37.54941031594963
140,심리카페점컴,126.92462999972426,37.55625299991765
141,빨간책방카페,126.91556965490494,37.549107683562596
142,무라,126.92187359173606,37.54828110000311
143,소복,126.92124489972427,37.55005689991766
144,딥커피,126.92325829972425,37.55869029991764
145,베브릿지,126.92321303933744,37.554078648553016
146,위드베베,126.92247988764338,37.55618171712086
147,카페더메드 홍대점,126.92220599972427,37.55352499991766
148,이미,126.92257886083817,37.55729086913958
149,aA 디자인 뮤지엄,126.92131295598466,37.54996351052779
150,카페두다트 홍대본점,126.91868409972426,37.55874629991765
151,르뿌띠푸,126.923232,37.549942
152,달의계단,126.9248181997243,37.55563779991764
153,ps cafe,126.91999103437969,37.553151828040406
154,커피프린스 홍대점,126.92437734091574,37.557505736815926
155,생선캠프,126.92607739972428,37.559576299917644
156,플레이트플레이트,126.91758779972429,37.55190659991766
157,클로리스 홍대점,126.9232794404822,37.55350595208292
158,딥커피,126.92370491672045,37.55803449825987
159,카페소스,126.92482237185537,37.55338639403539
160,엘가커피,126.92262279972428,37.55266109991765
161,유아히어카페,126.92268548587184,37.55813127759888
162,코니쉬크림,126.92698077465828,37.556359775439546
163,차유,126.91466799972429,37.54967729991766
164,BeSweetOn,126.92681359972428,37.55430559991765
165,홍대반지카페,126.92128199972429,37.55210969991766
166,빚은 홍대역점,126.92795499972429,37.558515999917645
167,슈풍크,126.92793719972428,37.55370009991767
168,허밍벨라,126.91994729972427,37.55032859991766
169,허밍벨라,126.91994729972427,37.55032859991766
170,서울특별시 마포구 서교동 484-25,126.9133923997243,37.55315709991765
171,빨간책방카페,126.91576350728847,37.54892837350382
172,반반,126.92760819972429,37.553872199917656
173,카페부라노,126.9208195,37.5568424
174,호호미욜,126.92348479489958,37.549892776524196
175,몹시 2호점,126.9277244,37.5562478
176,카바레마키아토,126.92050119972427,37.549695799917664
177,카페더메드 홍대점,126.92209153695151,37.553686682105216
178,달의계단,126.924818,37.555638
179,소년막걸리,126.91812789972428,37.55033549991766
180,모노,126.92731879972428,37.554426799917664
181,더페이머스램,126.92105499972425,37.55767039991764
182,다르다,126.91972122233538,37.56371063473122
183,그대를 위한 커피,126.92711952266002,37.55870552661943
184,더빅바나나,126.92832319972426,37.55738599991765
185,카페 슬로비,126.92267898529141,37.555122823200875
186,유아히어카페(YOUAREHERECAFE),126.92221940276647,37.557515339078016
187,오마오,126.9222936,37.5511577
188,Blanc,126.9262909997243,37.558389999917644
189,마켓밤삼킨별,126.92614849972428,37.55538739991764
190,비하인드,126.9196638,37.5492795
191,피오니,126.92031149972428,37.55144369991766
192,안녕낯선사람,126.91855059972428,37.54977079991765
193,고기카페개미,126.92074649972426,37.548277399917666
194,스코프,126.92383877998712,37.558422639527805
195,사운드밸런스,126.93155155727379,37.556699892426984
196,카페파운드,126.91756908392303,37.550229337683874
197,유아히어카페,126.92221484648995,37.55749803318589
198,커피프린스 홍대점,126.92473119972428,37.55786799991765
199,호호미욜,126.92302691162595,37.548344729366455
200,1984,126.92336797923683,37.557372506503164
201,더갈라파고스,126.92182373259459,37.54844484170842
202,유아히어카페,126.92210149129637,37.55751550532062
203,소이연남,126.92545229972428,37.56350159991765
204,북카페정글,126.9213220844762,37.554803285743084
205,카페더노라,126.92301569972427,37.55126269991765
206,서울특별시 마포구 서교동 403-13 (Jeffrey),126.91994449542068,37.5492442918918
207,유아히어카페,126.92093789972428,37.558645499917624
208,카페히비,126.929172,37.554644
209,페이퍼로빈,126.92512729434554,37.555544726689305
210,홍대반지카페,126.92128199972429,37.55210969991766
211,몹시,126.92668029972428,37.55460129991766
212,달의계단,126.9248182,37.5556378
213,라일린,126.91800563968471,37.54954256070102
214,안녕낯선사람,126.91697205962905,37.54895180366699
215,홍대반지카페,126.92128199972429,37.55210969991766
216,허밍벨라,126.92120064091826,37.54928918781418
217,엘가커피,126.92259240825449,37.55259882352937
218,베브릿지,126.92314309972429,37.55360509991765
219,카페더메드 홍대점,126.92220599972427,37.55352499991766
220,카페가비에,126.92954399972429,37.554425999917655
221,카페피오니,126.92038199972426,37.55154799991765
